date,event_summary,recommended_action,category,event_type,impact_level,country,city,latitude,longitude
2025-12-13,Explosion reported in San Francisco affecting local operations,Notify leadership and activate continuity actions,Industrial Incident,Explosion,High,USA,San Francisco,37.7749,-122.4194
2025-05-23,Crime reported in Birmingham affecting local operations,Increase monitoring and prepare contingency plan,Security,Crime,Medium,UK,Birmingham,52.4862,-1.8904
2025-12-27,Strike reported in Singapore affecting local operations,Notify leadership and activate continuity actions,Civil Unrest,Strike,High,Singapore,Singapore,1.3521,103.8198
2025-10-14,Network Failure reported in San Francisco affecting local operations,Notify leadership and activate continuity actions,Infrastructure,Network Failure,High,USA,San Francisco,37.7749,-122.4194
2026-04-04,Earthquake reported in Manchester affecting local operations,Immediate escalation and crisis response required,Natural Hazard,Earthquake,Critical,UK,Manchester,53.4808,-2.2426
2025-05-28,Strike reported in Abu Dhabi affecting local operations,Monitor situation and inform local teams,Civil Unrest,Strike,Low,UAE,Abu Dhabi,24.4539,54.3773
2026-01-18,Threat reported in Delhi affecting local operations,Notify leadership and activate continuity actions,Security,Threat,High,India,Delhi,28.6139,77.209
2026-04-23,Road Blockade reported in Dubai affecting local operations,Notify leadership and activate continuity actions,Civil Unrest,Road Blockade,High,UAE,Dubai,25.2048,55.2708
2025-05-05,Protest reported in Singapore affecting local operations,Increase monitoring and prepare contingency plan,Civil Unrest,Protest,Medium,Singapore,Singapore,1.3521,103.8198
2025-01-27,Fire reported in Hyderabad affecting local operations,Increase monitoring and prepare contingency plan,Industrial Incident,Fire,Medium,India,Hyderabad,17.385,78.4867
2025-02-21,Water Disruption reported in Bengaluru affecting local operations,Immediate escalation and crisis response required,Infrastructure,Water Disruption,Critical,India,Bengaluru,12.9716,77.5946
2025-12-01,Fire reported in New York affecting local operations,Immediate escalation and crisis response required,Industrial Incident,Fire,Critical,USA,New York,40.7128,-74.006
2025-05-27,Strike reported in Abu Dhabi affecting local operations,Notify leadership and activate continuity actions,Civil Unrest,Strike,High,UAE,Abu Dhabi,24.4539,54.3773
2026-04-13,Fire reported in Mumbai affecting local operations,Monitor situation and inform local teams,Industrial Incident,Fire,Low,India,Mumbai,19.076,72.8777
2026-02-08,Protest reported in San Francisco affecting local operations,Immediate escalation and crisis response required,Civil Unrest,Protest,Critical,USA,San Francisco,37.7749,-122.4194
2025-06-02,Power Outage reported in Dubai affecting local operations,Monitor situation and inform local teams,Infrastructure,Power Outage,Low,UAE,Dubai,25.2048,55.2708
2025-11-25,Network Failure reported in Singapore affecting local operations,Immediate escalation and crisis response required,Infrastructure,Network Failure,Critical,Singapore,Singapore,1.3521,103.8198
2025-05-20,Road Blockade reported in Singapore affecting local operations,Immediate escalation and crisis response required,Civil Unrest,Road Blockade,Critical,Singapore,Singapore,1.3521,103.8198
2025-11-28,Power Outage reported in New York affecting local operations,Immediate escalation and crisis response required,Infrastructure,Power Outage,Critical,USA,New York,40.7128,-74.006
2026-02-09,Protest reported in Birmingham affecting local operations,Notify leadership and activate continuity actions,Civil Unrest,Protest,High,UK,Birmingham,52.4862,-1.8904
2026-02-28,Protest reported in Birmingham affecting local operations,Immediate escalation and crisis response required,Civil Unrest,Protest,Critical,UK,Birmingham,52.4862,-1.8904
2025-04-05,Storm reported in Abu Dhabi affecting local operations,Monitor situation and inform local teams,Natural Hazard,Storm,Low,UAE,Abu Dhabi,24.4539,54.3773
2025-05-14,Power Outage reported in San Francisco affecting local operations,Monitor situation and inform local teams,Infrastructure,Power Outage,Low,USA,San Francisco,37.7749,-122.4194
2025-06-04,Robbery reported in Dubai affecting local operations,Notify leadership and activate continuity actions,Security,Robbery,High,UAE,Dubai,25.2048,55.2708
2025-12-21,Water Disruption reported in Singapore affecting local operations,Notify leadership and activate continuity actions,Infrastructure,Water Disruption,High,Singapore,Singapore,1.3521,103.8198
2025-03-23,Storm reported in New York affecting local operations,Notify leadership and activate continuity actions,Natural Hazard,Storm,High,USA,New York,40.7128,-74.006
2025-07-08,Earthquake reported in Abu Dhabi affecting local operations,Notify leadership and activate continuity actions,Natural Hazard,Earthquake,High,UAE,Abu Dhabi,24.4539,54.3773
2025-03-20,Protest reported in Singapore affecting local operations,Immediate escalation and crisis response required,Civil Unrest,Protest,Critical,Singapore,Singapore,1.3521,103.8198
2026-01-23,Threat reported in Abu Dhabi affecting local operations,Immediate escalation and crisis response required,Security,Threat,Critical,UAE,Abu Dhabi,24.4539,54.3773
2025-09-27,Road Blockade reported in Singapore affecting local operations,Monitor situation and inform local teams,Civil Unrest,Road Blockade,Low,Singapore,Singapore,1.3521,103.8198
2025-02-01,Earthquake reported in Abu Dhabi affecting local operations,Monitor situation and inform local teams,Natural Hazard,Earthquake,Low,UAE,Abu Dhabi,24.4539,54.3773
2025-03-26,Leak reported in Singapore affecting local operations,Increase monitoring and prepare contingency plan,Industrial Incident,Leak,Medium,Singapore,Singapore,1.3521,103.8198
2026-01-03,Crime reported in Birmingham affecting local operations,Increase monitoring and prepare contingency plan,Security,Crime,Medium,UK,Birmingham,52.4862,-1.8904
2026-02-19,Earthquake reported in Singapore affecting local operations,Immediate escalation and crisis response required,Natural Hazard,Earthquake,Critical,Singapore,Singapore,1.3521,103.8198
2025-08-22,Road Blockade reported in Bengaluru affecting local operations,Immediate escalation and crisis response required,Civil Unrest,Road Blockade,Critical,India,Bengaluru,12.9716,77.5946
2026-01-06,Explosion reported in Singapore affecting local operations,Notify leadership and activate continuity actions,Industrial Incident,Explosion,High,Singapore,Singapore,1.3521,103.8198
2025-10-24,Power Outage reported in Bengaluru affecting local operations,Increase monitoring and prepare contingency plan,Infrastructure,Power Outage,Medium,India,Bengaluru,12.9716,77.5946
2025-10-05,Robbery reported in Mumbai affecting local operations,Monitor situation and inform local teams,Security,Robbery,Low,India,Mumbai,19.076,72.8777
2025-07-29,Crime reported in Mumbai affecting local operations,Notify leadership and activate continuity actions,Security,Crime,High,India,Mumbai,19.076,72.8777
2025-08-18,Robbery reported in Chicago affecting local operations,Immediate escalation and crisis response required,Security,Robbery,Critical,USA,Chicago,41.8781,-87.6298
2025-12-01,Earthquake reported in Abu Dhabi affecting local operations,Increase monitoring and prepare contingency plan,Natural Hazard,Earthquake,Medium,UAE,Abu Dhabi,24.4539,54.3773
2025-09-28,Road Blockade reported in London affecting local operations,Immediate escalation and crisis response required,Civil Unrest,Road Blockade,Critical,UK,London,51.5074,-0.1278
2025-08-26,Flood reported in Chicago affecting local operations,Notify leadership and activate continuity actions,Natural Hazard,Flood,High,USA,Chicago,41.8781,-87.6298
2025-05-07,Explosion reported in Singapore affecting local operations,Increase monitoring and prepare contingency plan,Industrial Incident,Explosion,Medium,Singapore,Singapore,1.3521,103.8198
2026-04-25,Strike reported in Abu Dhabi affecting local operations,Increase monitoring and prepare contingency plan,Civil Unrest,Strike,Medium,UAE,Abu Dhabi,24.4539,54.3773
2025-05-04,Threat reported in Mumbai affecting local operations,Monitor situation and inform local teams,Security,Threat,Low,India,Mumbai,19.076,72.8777
2025-08-17,Earthquake reported in New York affecting local operations,Monitor situation and inform local teams,Natural Hazard,Earthquake,Low,USA,New York,40.7128,-74.006
2025-07-25,Road Blockade reported in Singapore affecting local operations,Monitor situation and inform local teams,Civil Unrest,Road Blockade,Low,Singapore,Singapore,1.3521,103.8198
2025-03-13,Fire reported in Dubai affecting local operations,Monitor situation and inform local teams,Industrial Incident,Fire,Low,UAE,Dubai,25.2048,55.2708
2025-10-23,Road Blockade reported in Singapore affecting local operations,Notify leadership and activate continuity actions,Civil Unrest,Road Blockade,High,Singapore,Singapore,1.3521,103.8198
2025-12-05,Strike reported in Singapore affecting local operations,Increase monitoring and prepare contingency plan,Civil Unrest,Strike,Medium,Singapore,Singapore,1.3521,103.8198
2025-02-01,Robbery reported in Singapore affecting local operations,Notify leadership and activate continuity actions,Security,Robbery,High,Singapore,Singapore,1.3521,103.8198
2025-01-25,Threat reported in Singapore affecting local operations,Immediate escalation and crisis response required,Security,Threat,Critical,Singapore,Singapore,1.3521,103.8198
2025-12-23,Threat reported in Birmingham affecting local operations,Notify leadership and activate continuity actions,Security,Threat,High,UK,Birmingham,52.4862,-1.8904
2025-04-05,Strike reported in Abu Dhabi affecting local operations,Immediate escalation and crisis response required,Civil Unrest,Strike,Critical,UAE,Abu Dhabi,24.4539,54.3773
2026-03-16,Protest reported in Singapore affecting local operations,Notify leadership and activate continuity actions,Civil Unrest,Protest,High,Singapore,Singapore,1.3521,103.8198
2025-08-02,Earthquake reported in San Francisco affecting local operations,Immediate escalation and crisis response required,Natural Hazard,Earthquake,Critical,USA,San Francisco,37.7749,-122.4194
2025-04-15,Crime reported in Singapore affecting local operations,Notify leadership and activate continuity actions,Security,Crime,High,Singapore,Singapore,1.3521,103.8198
2025-02-17,Storm reported in Birmingham affecting local operations,Notify leadership and activate continuity actions,Natural Hazard,Storm,High,UK,Birmingham,52.4862,-1.8904
2025-12-11,Storm reported in Singapore affecting local operations,Immediate escalation and crisis response required,Natural Hazard,Storm,Critical,Singapore,Singapore,1.3521,103.8198
2025-09-03,Flood reported in Singapore affecting local operations,Increase monitoring and prepare contingency plan,Natural Hazard,Flood,Medium,Singapore,Singapore,1.3521,103.8198
2026-04-25,Power Outage reported in Dallas affecting local operations,Increase monitoring and prepare contingency plan,Infrastructure,Power Outage,Medium,USA,Dallas,32.7767,-96.797
2025-07-23,Crime reported in New York affecting local operations,Increase monitoring and prepare contingency plan,Security,Crime,Medium,USA,New York,40.7128,-74.006
2025-10-01,Network Failure reported in Dallas affecting local operations,Immediate escalation and crisis response required,Infrastructure,Network Failure,Critical,USA,Dallas,32.7767,-96.797
2025-08-27,Network Failure reported in Manchester affecting local operations,Immediate escalation and crisis response required,Infrastructure,Network Failure,Critical,UK,Manchester,53.4808,-2.2426
2025-07-09,Robbery reported in Hyderabad affecting local operations,Increase monitoring and prepare contingency plan,Security,Robbery,Medium,India,Hyderabad,17.385,78.4867
2026-01-15,Earthquake reported in Manchester affecting local operations,Increase monitoring and prepare contingency plan,Natural Hazard,Earthquake,Medium,UK,Manchester,53.4808,-2.2426
2025-06-01,Water Disruption reported in New York affecting local operations,Immediate escalation and crisis response required,Infrastructure,Water Disruption,Critical,USA,New York,40.7128,-74.006
2025-10-19,Power Outage reported in Chicago affecting local operations,Immediate escalation and crisis response required,Infrastructure,Power Outage,Critical,USA,Chicago,41.8781,-87.6298
2025-05-12,Leak reported in San Francisco affecting local operations,Notify leadership and activate continuity actions,Industrial Incident,Leak,High,USA,San Francisco,37.7749,-122.4194
2025-03-28,Crime reported in Abu Dhabi affecting local operations,Notify leadership and activate continuity actions,Security,Crime,High,UAE,Abu Dhabi,24.4539,54.3773
2025-09-26,Road Blockade reported in San Francisco affecting local operations,Monitor situation and inform local teams,Civil Unrest,Road Blockade,Low,USA,San Francisco,37.7749,-122.4194
2025-03-12,Flood reported in Mumbai affecting local operations,Immediate escalation and crisis response required,Natural Hazard,Flood,Critical,India,Mumbai,19.076,72.8777
2025-09-16,Protest reported in New York affecting local operations,Increase monitoring and prepare contingency plan,Civil Unrest,Protest,Medium,USA,New York,40.7128,-74.006
2025-12-04,Earthquake reported in Abu Dhabi affecting local operations,Immediate escalation and crisis response required,Natural Hazard,Earthquake,Critical,UAE,Abu Dhabi,24.4539,54.3773
2025-01-07,Earthquake reported in Dubai affecting local operations,Immediate escalation and crisis response required,Natural Hazard,Earthquake,Critical,UAE,Dubai,25.2048,55.2708
2025-01-09,Water Disruption reported in Chennai affecting local operations,Notify leadership and activate continuity actions,Infrastructure,Water Disruption,High,India,Chennai,13.0827,80.2707
2025-09-26,Protest reported in Singapore affecting local operations,Monitor situation and inform local teams,Civil Unrest,Protest,Low,Singapore,Singapore,1.3521,103.8198
2026-02-22,Road Blockade reported in Chicago affecting local operations,Notify leadership and activate continuity actions,Civil Unrest,Road Blockade,High,USA,Chicago,41.8781,-87.6298
2025-07-27,Crime reported in Manchester affecting local operations,Notify leadership and activate continuity actions,Security,Crime,High,UK,Manchester,53.4808,-2.2426
2025-12-01,Strike reported in Dubai affecting local operations,Monitor situation and inform local teams,Civil Unrest,Strike,Low,UAE,Dubai,25.2048,55.2708
2025-10-10,Robbery reported in Mumbai affecting local operations,Immediate escalation and crisis response required,Security,Robbery,Critical,India,Mumbai,19.076,72.8777
2025-02-12,Earthquake reported in Dubai affecting local operations,Increase monitoring and prepare contingency plan,Natural Hazard,Earthquake,Medium,UAE,Dubai,25.2048,55.2708
2026-04-04,Water Disruption reported in Abu Dhabi affecting local operations,Monitor situation and inform local teams,Infrastructure,Water Disruption,Low,UAE,Abu Dhabi,24.4539,54.3773
2025-05-19,Protest reported in Singapore affecting local operations,Immediate escalation and crisis response required,Civil Unrest,Protest,Critical,Singapore,Singapore,1.3521,103.8198
2025-04-02,Water Disruption reported in Mumbai affecting local operations,Monitor situation and inform local teams,Infrastructure,Water Disruption,Low,India,Mumbai,19.076,72.8777
2026-01-21,Road Blockade reported in London affecting local operations,Increase monitoring and prepare contingency plan,Civil Unrest,Road Blockade,Medium,UK,London,51.5074,-0.1278
2025-10-18,Power Outage reported in Dubai affecting local operations,Increase monitoring and prepare contingency plan,Infrastructure,Power Outage,Medium,UAE,Dubai,25.2048,55.2708
2026-02-09,Threat reported in Abu Dhabi affecting local operations,Increase monitoring and prepare contingency plan,Security,Threat,Medium,UAE,Abu Dhabi,24.4539,54.3773
2025-08-12,Power Outage reported in Chennai affecting local operations,Monitor situation and inform local teams,Infrastructure,Power Outage,Low,India,Chennai,13.0827,80.2707
2026-02-01,Water Disruption reported in New York affecting local operations,Immediate escalation and crisis response required,Infrastructure,Water Disruption,Critical,USA,New York,40.7128,-74.006
2025-04-27,Network Failure reported in London affecting local operations,Immediate escalation and crisis response required,Infrastructure,Network Failure,Critical,UK,London,51.5074,-0.1278
2025-12-15,Robbery reported in Birmingham affecting local operations,Increase monitoring and prepare contingency plan,Security,Robbery,Medium,UK,Birmingham,52.4862,-1.8904
2026-02-13,Earthquake reported in Singapore affecting local operations,Notify leadership and activate continuity actions,Natural Hazard,Earthquake,High,Singapore,Singapore,1.3521,103.8198
2025-07-14,Storm reported in New York affecting local operations,Increase monitoring and prepare contingency plan,Natural Hazard,Storm,Medium,USA,New York,40.7128,-74.006
2025-02-16,Network Failure reported in San Francisco affecting local operations,Monitor situation and inform local teams,Infrastructure,Network Failure,Low,USA,San Francisco,37.7749,-122.4194
2025-02-22,Robbery reported in Delhi affecting local operations,Notify leadership and activate continuity actions,Security,Robbery,High,India,Delhi,28.6139,77.209
2025-10-13,Strike reported in New York affecting local operations,Immediate escalation and crisis response required,Civil Unrest,Strike,Critical,USA,New York,40.7128,-74.006
2025-07-01,Flood reported in Singapore affecting local operations,Monitor situation and inform local teams,Natural Hazard,Flood,Low,Singapore,Singapore,1.3521,103.8198
2026-03-19,Leak reported in Singapore affecting local operations,Notify leadership and activate continuity actions,Industrial Incident,Leak,High,Singapore,Singapore,1.3521,103.8198
2026-02-03,Network Failure reported in Dubai affecting local operations,Immediate escalation and crisis response required,Infrastructure,Network Failure,Critical,UAE,Dubai,25.2048,55.2708
2025-12-17,Fire reported in Hyderabad affecting local operations,Increase monitoring and prepare contingency plan,Industrial Incident,Fire,Medium,India,Hyderabad,17.385,78.4867
2025-05-18,Strike reported in Dubai affecting local operations,Notify leadership and activate continuity actions,Civil Unrest,Strike,High,UAE,Dubai,25.2048,55.2708
2025-05-22,Flood reported in Dubai affecting local operations,Immediate escalation and crisis response required,Natural Hazard,Flood,Critical,UAE,Dubai,25.2048,55.2708
2025-05-09,Crime reported in Abu Dhabi affecting local operations,Notify leadership and activate continuity actions,Security,Crime,High,UAE,Abu Dhabi,24.4539,54.3773
2025-08-23,Leak reported in San Francisco affecting local operations,Increase monitoring and prepare contingency plan,Industrial Incident,Leak,Medium,USA,San Francisco,37.7749,-122.4194
2025-06-20,Power Outage reported in Pune affecting local operations,Immediate escalation and crisis response required,Infrastructure,Power Outage,Critical,India,Pune,18.5204,73.8567
2025-08-09,Network Failure reported in Singapore affecting local operations,Notify leadership and activate continuity actions,Infrastructure,Network Failure,High,Singapore,Singapore,1.3521,103.8198
2025-09-03,Network Failure reported in Singapore affecting local operations,Increase monitoring and prepare contingency plan,Infrastructure,Network Failure,Medium,Singapore,Singapore,1.3521,103.8198
2026-01-12,Robbery reported in London affecting local operations,Notify leadership and activate continuity actions,Security,Robbery,High,UK,London,51.5074,-0.1278
2026-02-23,Network Failure reported in Dubai affecting local operations,Notify leadership and activate continuity actions,Infrastructure,Network Failure,High,UAE,Dubai,25.2048,55.2708
2025-10-31,Earthquake reported in Abu Dhabi affecting local operations,Increase monitoring and prepare contingency plan,Natural Hazard,Earthquake,Medium,UAE,Abu Dhabi,24.4539,54.3773
2026-04-28,Fire reported in Singapore affecting local operations,Immediate escalation and crisis response required,Industrial Incident,Fire,Critical,Singapore,Singapore,1.3521,103.8198
2026-02-24,Water Disruption reported in San Francisco affecting local operations,Monitor situation and inform local teams,Infrastructure,Water Disruption,Low,USA,San Francisco,37.7749,-122.4194
2025-05-04,Road Blockade reported in Abu Dhabi affecting local operations,Notify leadership and activate continuity actions,Civil Unrest,Road Blockade,High,UAE,Abu Dhabi,24.4539,54.3773
2026-02-09,Road Blockade reported in Birmingham affecting local operations,Immediate escalation and crisis response required,Civil Unrest,Road Blockade,Critical,UK,Birmingham,52.4862,-1.8904
2025-10-26,Threat reported in Dubai affecting local operations,Immediate escalation and crisis response required,Security,Threat,Critical,UAE,Dubai,25.2048,55.2708
2025-12-26,Fire reported in Abu Dhabi affecting local operations,Notify leadership and activate continuity actions,Industrial Incident,Fire,High,UAE,Abu Dhabi,24.4539,54.3773
2025-03-27,Flood reported in Singapore affecting local operations,Notify leadership and activate continuity actions,Natural Hazard,Flood,High,Singapore,Singapore,1.3521,103.8198
2026-01-21,Leak reported in Singapore affecting local operations,Immediate escalation and crisis response required,Industrial Incident,Leak,Critical,Singapore,Singapore,1.3521,103.8198
2025-05-13,Flood reported in Manchester affecting local operations,Monitor situation and inform local teams,Natural Hazard,Flood,Low,UK,Manchester,53.4808,-2.2426
2025-08-26,Robbery reported in Chicago affecting local operations,Immediate escalation and crisis response required,Security,Robbery,Critical,USA,Chicago,41.8781,-87.6298
2025-02-23,Power Outage reported in Singapore affecting local operations,Immediate escalation and crisis response required,Infrastructure,Power Outage,Critical,Singapore,Singapore,1.3521,103.8198
2025-06-28,Flood reported in Manchester affecting local operations,Increase monitoring and prepare contingency plan,Natural Hazard,Flood,Medium,UK,Manchester,53.4808,-2.2426
2025-06-28,Crime reported in Manchester affecting local operations,Immediate escalation and crisis response required,Security,Crime,Critical,UK,Manchester,53.4808,-2.2426
